ens_gene,ext_gene,target_id,b,se_b,qval,genotype,sorter,code
WBGene00001716,grl-7,T02E9.2,1.895968685,0.671822523,0.077538751,daf-16,4,c
WBGene00001750,gst-2,K08F4.6,-0.930023557,0.255787108,0.008268443,daf-16,4,c
WBGene00001751,gst-3,K08F4.11,-0.875855659,0.18611193,1.48E-04,daf-16,4,c
WBGene00001761,gst-13,T26C5.1,-0.64119873,0.199603165,0.028614065,daf-16,4,c
WBGene00001763,gst-15,F37B1.4,-0.979851211,0.307400732,0.03068137,daf-16,4,c
WBGene00001768,gst-20,Y48E1B.10,-0.845864473,0.218790512,0.00379394,daf-16,4,c
WBGene00001777,gst-29,Y53F4B.32,-2.166406491,0.557089179,0.003495232,daf-16,4,c
WBGene00001789,gst-41,R13D7.7,-1.561703063,0.2303898,2.19E-09,daf-16,4,c
WBGene00001793,gsy-1,Y46G5A.31,-0.630269085,0.129538846,7.59E-05,daf-16,4,c
WBGene00001829,hcp-1,ZK1055.1,0.633355202,0.196164591,0.027487011,daf-16,4,c
WBGene00001852,hil-1,C30G7.1,-1.994227404,0.190920855,1.48E-22,daf-16,4,c
WBGene00001853,hil-2,Y73B6BL.9,1.086780722,0.190022815,1.14E-06,daf-16,4,c
WBGene00001910,NA,C50F4.6,0.71560786,0.235754776,0.044853256,daf-16,4,c
WBGene00002012,hsp-12.3,F38E11.1,-2.52204037,0.428916816,4.77E-07,daf-16,4,c
WBGene00002013,hsp-12.6,F38E11.2,-2.511195912,0.789299255,0.031046888,daf-16,4,c
WBGene00002021,hsp-17,F52E1.7,1.042722002,0.215358996,8.37E-05,daf-16,4,c
WBGene00002026,hsp-70,C12C8.1,-1.270837326,0.42245818,0.047952398,daf-16,4,c
WBGene00002038,hum-5,T02C12.1,-0.470417188,0.137003195,0.01554416,daf-16,4,c
WBGene00002047,icp-1,Y39G10AR.13,0.729711629,0.193640907,0.005365467,daf-16,4,c
WBGene00002057,ifd-1,R04E5.10,0.497536243,0.147768761,0.018716812,daf-16,4,c
WBGene00002078,xpo-1,ZK742.1,-0.404916889,0.129755194,0.036328009,daf-16,4,c
WBGene00002107,ins-24,ZC334.3,-1.820227139,0.348804085,1.42E-05,daf-16,4,c
WBGene00002113,ins-30,ZC334.2,-1.305926732,0.207751626,4.75E-08,daf-16,4,c
WBGene00002118,ins-35,K02E2.4,-2.381517047,0.336339233,2.92E-10,daf-16,4,c
WBGene00002133,inx-11,W04D2.3,-0.549751425,0.191524028,0.068719695,daf-16,4,c
WBGene00002163,ist-1,C54D1.3,-0.756135938,0.170339996,4.51E-04,daf-16,4,c
WBGene00002173,itr-1,F33D4.2,-0.523563272,0.115163781,2.88E-04,daf-16,4,c
WBGene00002174,itx-1,W03D8.6,-0.464793029,0.130830513,0.010690575,daf-16,4,c
WBGene00002188,kgb-2,ZC416.4,-0.96824361,0.25794785,0.005640017,daf-16,4,c
WBGene00002200,kin-16,M176.7,-0.67498287,0.16241625,0.001347777,daf-16,4,c
WBGene00002229,klp-19,Y43F4B.6,0.570612604,0.185063811,0.040196152,daf-16,4,c
WBGene00002234,kqt-2,M60.5,-0.589952333,0.187534114,0.034081169,daf-16,4,c
WBGene00002258,lbp-6,W02D3.5,-0.637118175,0.208234718,0.042441483,daf-16,4,c
WBGene00002262,ldh-1,F13D12.2,-0.483856914,0.14947153,0.02706819,daf-16,4,c
WBGene00002263,lea-1,K08H10.1,-0.753073681,0.187557068,0.002229755,daf-16,4,c
WBGene00002269,lec-6,Y55B1AR.1,-0.462469297,0.165545219,0.083125778,daf-16,4,c
WBGene00002297,ect-2,T19E10.1,0.781679148,0.262922776,0.05247648,daf-16,4,c
WBGene00002827,let-653,C29E6.1,1.228790777,0.34557701,0.010624049,daf-16,4,c
WBGene00003015,lin-29,W03C9.4,1.090491528,0.257321558,9.78E-04,daf-16,4,c
WBGene00003057,lon-3,ZK836.1,2.207235249,0.796801605,0.088196835,daf-16,4,c
WBGene00003094,lys-5,F58B3.2,1.756474018,0.35776048,6.24E-05,daf-16,4,c
WBGene00003096,lys-7,C02A12.4,-2.816878017,0.844945924,0.020607731,daf-16,4,c
WBGene00003124,mai-1,K10B3.9,-0.729139004,0.212541517,0.015691584,daf-16,4,c
WBGene00003155,mcm-3,C25D7.6,0.622094869,0.150952815,0.001554775,daf-16,4,c
WBGene00003156,mcm-4,Y39G10AR.14,0.635397173,0.155818816,0.001811976,daf-16,4,c
WBGene00003159,mcm-7,F32D1.10,0.725917103,0.205360559,0.011281498,daf-16,4,c
WBGene00003249,mig-18,F11F1.6,1.275246286,0.317405361,0.002214453,daf-16,4,c
WBGene00003409,mrp-3,E03G2.2,-1.042754191,0.18605514,2.12E-06,daf-16,4,c
WBGene00003473,mtl-1,K11G9.6,-3.329823757,0.674552719,5.52E-05,daf-16,4,c
WBGene00003474,mtl-2,T08G5.10,1.196695333,0.276166544,6.89E-04,daf-16,4,c
WBGene00003528,nas-9,C37H5.9,-0.659096503,0.192791282,0.016130075,daf-16,4,c
WBGene00003571,ncx-6,C07A9.4,1.037952778,0.228006829,2.81E-04,daf-16,4,c
WBGene00003610,nhr-11,ZC410.1,-1.149726176,0.272888552,0.001075259,daf-16,4,c
WBGene00003627,nhr-34,F58G6.5,-0.559639057,0.180873616,0.03908557,daf-16,4,c
WBGene00003651,nhr-61,W01D2.2,-0.611375396,0.189413325,0.027536561,daf-16,4,c
WBGene00003652,nhr-62,Y67A6A.2,-1.266177502,0.235459889,6.57E-06,daf-16,4,c
WBGene00003658,nhr-68,H12C20.3,-1.276236238,0.323384511,0.002826112,daf-16,4,c
WBGene00003688,nhr-98,M02H5.6,-0.890979569,0.236809355,0.005469838,daf-16,4,c
WBGene00003702,nhr-112,Y70C5C.6,-1.497305083,0.308471608,7.98E-05,daf-16,4,c
WBGene00003715,nhr-125,R02D1.1,-0.567226479,0.191131345,0.053194019,daf-16,4,c
WBGene00003723,nhr-133,F44C8.8,-0.712043641,0.215462533,0.022280179,daf-16,4,c
WBGene00003725,nhr-135,VC5.5,-0.5489172,0.171170559,0.028995631,daf-16,4,c
WBGene00003734,nhx-6,F58E1.6,1.67009803,0.393117595,9.53E-04,daf-16,4,c
WBGene00003741,nlp-3,F48C11.3,0.450545798,0.14524685,0.03832766,daf-16,4,c
WBGene00003747,nlp-9,E03D2.2,0.478432783,0.172354718,0.08693861,daf-16,4,c
WBGene00003766,nlp-28,B0213.3,-1.121227068,0.237547959,1.41E-04,daf-16,4,c
WBGene00003778,nnt-1,C15H9.1,-2.211538438,0.157580317,4.62E-41,daf-16,4,c
WBGene00003786,npa-1,VC5.3,-0.820714589,0.229277689,0.009875429,daf-16,4,c
WBGene00003837,oat-1,T01B11.7,0.891982251,0.295144356,0.046317228,daf-16,4,c
WBGene00003891,osm-11,F11C7.5,0.71803692,0.132525711,5.43E-06,daf-16,4,c
WBGene00003943,pbo-4,K09C8.1,-0.557768891,0.169451377,0.02315171,daf-16,4,c
WBGene00003955,pcn-1,W03D2.4,0.753590214,0.16161875,1.76E-04,daf-16,4,c
WBGene00003957,pcp-2,F23B2.12,1.050462466,0.21536668,7.18E-05,daf-16,4,c
WBGene00003965,pdk-1,H42K12.1,-1.350648205,0.189072433,1.99E-10,daf-16,4,c
WBGene00003968,peb-1,T14F9.4,0.650952774,0.234170079,0.086261017,daf-16,4,c
WBGene00003982,pes-9,R11H6.1,-0.938596975,0.154633699,1.62E-07,daf-16,4,c
WBGene00004000,pgp-6,T21E8.1,-0.624215013,0.191403854,0.025371851,daf-16,4,c
WBGene00004005,pgp-11,DH11.3,0.592466442,0.179401367,0.022419012,daf-16,4,c
WBGene00004011,pha-2,M6.3,0.876082148,0.288054936,0.044315681,daf-16,4,c
WBGene00004020,pho-1,EGAP2.3,0.778934509,0.154039661,3.08E-05,daf-16,4,c
WBGene00004040,pld-1,C04G6.3,-0.337608861,0.122607092,0.092075572,daf-16,4,c
WBGene00004042,plk-1,C14B9.4,0.781996572,0.164475083,1.22E-04,daf-16,4,c
WBGene00004053,tank-1,ZK1005.1,-0.48666931,0.156094945,0.036604685,daf-16,4,c
WBGene00004062,pmp-5,T10H9.5,-1.554233153,0.216514974,1.57E-10,daf-16,4,c
WBGene00004068,pnk-1,C10G11.5,-0.79875487,0.199688945,0.00235023,daf-16,4,c
WBGene00004113,pqn-24,D1007.14,-0.597048635,0.184476777,0.02706819,daf-16,4,c
WBGene00004129,pqn-42,F53G2.4,0.768160106,0.20921071,0.007274995,daf-16,4,c
WBGene00004135,pqn-48,K07D4.8,0.52866683,0.172796197,0.042441483,daf-16,4,c
WBGene00004145,pqn-62,T03G11.1,-0.617781438,0.163985087,0.005376405,daf-16,4,c
WBGene00004157,pqn-75,W03D2.1,-0.766167226,0.218570412,0.012383148,daf-16,4,c
WBGene00004168,pqn-88,Y71G12B.21,-0.703912366,0.250858007,0.080795345,daf-16,4,c
WBGene00004172,pqn-92,Y75B8A.27,0.976779244,0.19150075,2.56E-05,daf-16,4,c
WBGene00004177,pqn-98,ZK488.7,1.302380673,0.277620213,1.57E-04,daf-16,4,c
WBGene00004180,pri-1,F58A4.4,0.802521491,0.288865037,0.086602619,daf-16,4,c
WBGene00004195,prx-6,F39G3.7,-0.652890108,0.222980736,0.059536156,daf-16,4,c
WBGene00004225,ptr-11,F56C11.2,-0.831727034,0.16975039,6.50E-05,daf-16,4,c
WBGene00004227,ptr-13,K07C10.1,-0.659053569,0.194738074,0.017849388,daf-16,4,c
WBGene00004236,ptr-22,Y80D3A.7,-1.353774513,0.388565347,0.013153283,daf-16,4,c
WBGene00004264,qua-1,T05C12.10,1.378137187,0.337646992,0.001798227,daf-16,4,c
WBGene00004337,rfc-1,C54G10.2,0.386766309,0.142450625,0.099061425,daf-16,4,c
WBGene00004340,rfc-4,F31E3.3,0.725623517,0.221856158,0.024617346,daf-16,4,c
WBGene00004391,rnr-1,T23G5.1,0.751539959,0.174350461,7.46E-04,daf-16,4,c
WBGene00004397,rol-6,T01B7.7,5.869490294,1.684689146,0.013153283,daf-16,4,c
WBGene00004445,rpl-31,W09C5.6,0.351608549,0.121684332,0.065747366,daf-16,4,c
WBGene00004748,sdf-9,Y44A6D.4,-1.752474009,0.364779381,9.81E-05,daf-16,4,c
WBGene00004878,smf-3,Y69A2AR.4,-0.533960697,0.176979638,0.046983469,daf-16,4,c
WBGene00004888,smo-1,K12C11.2,0.543565751,0.176851033,0.041210124,daf-16,4,c
WBGene00004930,sod-1,C15F1.7,-0.792485543,0.171590383,2.11E-04,daf-16,4,c
WBGene00004932,sod-3,C08A9.1,-7.224874495,1.265509292,1.20E-06,daf-16,4,c
WBGene00004955,spd-5,F56A3.4,0.549565549,0.184509856,0.051738725,daf-16,4,c
WBGene00004986,spp-1,T07C4.4,-0.779686199,0.187004871,0.001281717,daf-16,4,c
WBGene00005016,sqt-1,B0491.2,3.995157492,1.277805605,0.035810551,daf-16,4,c
WBGene00005017,sqt-2,C01B12.1,4.275407934,1.401051504,0.043232022,daf-16,4,c
WBGene00005257,srh-34,M02H5.10,-1.790155073,0.653547157,0.095190942,daf-16,4,c
WBGene00005258,srh-35,M02H5.11,-1.508049731,0.478262774,0.033442502,daf-16,4,c
WBGene00005444,srh-237,T05E12.7,-1.80248948,0.59710552,0.046792392,daf-16,4,c
WBGene00005552,sri-40,Y27F2A.3,1.704843893,0.512647539,0.021155324,daf-16,4,c
WBGene00005657,srr-6,C13D9.1,-1.044704149,0.330433064,0.032581939,daf-16,4,c
WBGene00005703,sru-40,R07B5.3,-1.694888741,0.281145604,2.06E-07,daf-16,4,c
WBGene00005818,srw-71,F18E3.6,-0.768593556,0.283005111,0.099061425,daf-16,4,c
WBGene00005832,srw-85,C25F9.1,-4.864225306,0.183255953,4.42E-151,daf-16,4,c
WBGene00005958,srx-67,K07C6.10,-1.600481511,0.587818722,0.098256202,daf-16,4,c
WBGene00006058,sst-20,F54C1.9,-1.883451845,0.474901731,0.002630848,daf-16,4,c
WBGene00006167,str-116,F07B10.2,1.670502264,0.488118175,0.015991821,daf-16,4,c
WBGene00006379,sys-1,T23D8.9,0.917054613,0.272730363,0.018895339,daf-16,4,c
WBGene00006431,tag-52,C02F12.4,0.644689362,0.160872702,0.002289058,daf-16,4,c
WBGene00006452,heh-1,R148.6,0.817285333,0.178798545,2.60E-04,daf-16,4,c
WBGene00006530,tba-4,F44F4.11,0.832159507,0.297475024,0.08251987,daf-16,4,c
WBGene00006537,tbb-2,C36E8.5,0.538745279,0.191046656,0.077931776,daf-16,4,c
WBGene00006578,tli-1,F25H2.1,-0.536978087,0.17264337,0.037357396,daf-16,4,c
WBGene00006602,tps-1,ZK54.2,-0.753235855,0.21368566,0.011643401,daf-16,4,c
WBGene00006603,tps-2,F19H8.1,-0.605995618,0.145565501,0.001309951,daf-16,4,c
WBGene00006611,tre-5,C23H3.7,1.503498582,0.247362092,1.55E-07,daf-16,4,c
WBGene00006617,tars-1,C47D12.6,0.335970689,0.11975083,0.080815002,daf-16,4,c
WBGene00006793,unc-59,W09C5.2,0.792222641,0.213113032,0.006315931,daf-16,4,c
WBGene00006817,unc-85,F10G7.3,0.584085039,0.18223897,0.029133291,daf-16,4,c
WBGene00006862,pnk-4,C42D8.3,-0.640886205,0.185328478,0.014301023,daf-16,4,c
WBGene00006886,vap-1,F11C7.3,0.847842008,0.192398184,5.15E-04,daf-16,4,c
WBGene00006890,vem-1,K07E3.8,-0.715390205,0.14850324,9.33E-05,daf-16,4,c
WBGene00006948,wrt-2,F52E4.6,2.762041004,0.857732124,0.027974204,daf-16,4,c
WBGene00006965,xtr-1,F54F7.4,-0.993750647,0.20308249,6.69E-05,daf-16,4,c
WBGene00006981,zig-4,C09C7.1,0.630677902,0.201038625,0.03473467,daf-16,4,c
WBGene00006984,zig-7,F54D7.4,0.944140006,0.222053707,9.45E-04,daf-16,4,c
WBGene00007036,sod-5,ZK430.3,-2.238743302,0.516650624,6.89E-04,daf-16,4,c
WBGene00007058,dmd-6,F13G11.1,-0.626167768,0.193938971,0.027487011,daf-16,4,c
WBGene00007070,ugt-49,AC3.2,-0.589112529,0.183287528,0.028481553,daf-16,4,c
WBGene00007072,ugt-1,AC3.7,-1.716124435,0.437110695,0.003047067,daf-16,4,c
WBGene00007138,NA,B0285.6,0.607679087,0.222243728,0.09639689,daf-16,4,c
WBGene00007140,cyp-29A4,B0331.1,-1.773026748,0.458697412,0.00379394,daf-16,4,c
WBGene00007174,mboa-1,B0395.2,-1.201469084,0.323670877,0.006437587,daf-16,4,c
WBGene00007228,acs-7,C01G6.7,-0.927273464,0.33734528,0.092900072,daf-16,4,c
WBGene00007275,NA,C03D6.1,0.747582987,0.274791149,0.09870395,daf-16,4,c
WBGene00007336,NA,C05C12.4,-0.638398851,0.168521645,0.004999618,daf-16,4,c
WBGene00007340,NA,C05D12.2,-0.75103969,0.168865586,4.38E-04,daf-16,4,c
WBGene00007363,stdh-1,C06B3.4,-0.631280451,0.189190333,0.020527017,daf-16,4,c
WBGene00007392,fbxa-156,C06H5.1,0.590040234,0.192453176,0.042044253,daf-16,4,c
WBGene00007393,fbxa-157,C06H5.2,0.771059513,0.235656005,0.024545453,daf-16,4,c
WBGene00007397,NA,C07A4.2,-0.641745691,0.204015971,0.034081169,daf-16,4,c
WBGene00007440,NA,C08E8.4,-2.362032752,0.297127601,6.93E-13,daf-16,4,c
WBGene00007450,NA,C08F11.1,0.558469755,0.19680056,0.074685843,daf-16,4,c
WBGene00007452,NA,C08F11.3,-4.168185834,0.376606273,2.16E-25,daf-16,4,c
WBGene00007453,fbxa-98,C08F11.5,-1.209378875,0.352806842,0.015791113,daf-16,4,c
WBGene00007480,glna-1,C09F9.3,0.525554597,0.157536609,0.020541995,daf-16,4,c
WBGene00007513,wht-2,C10C6.5,-0.895928132,0.285414515,0.034651709,daf-16,4,c
WBGene00007516,gpx-5,C11E4.1,-0.576114903,0.181099544,0.031046888,daf-16,4,c
WBGene00007558,NA,C14A4.7,-0.838571587,0.294851395,0.073559263,daf-16,4,c
WBGene00007588,NA,C14C10.5,-0.438074364,0.134688436,0.025959866,daf-16,4,c
WBGene00007638,NA,C17D12.3,0.43926929,0.149179326,0.056715118,daf-16,4,c
WBGene00007653,cysl-1,C17G1.7,-0.440314955,0.161984006,0.099061425,daf-16,4,c
WBGene00007669,NA,C18D1.2,0.632265383,0.216428052,0.060601391,daf-16,4,c
WBGene00007691,cest-8,C23H4.2,-2.607016164,0.691208403,0.00530692,daf-16,4,c
WBGene00007692,cest-9.1,C23H4.3,-0.909623445,0.218494735,0.001309951,daf-16,4,c
WBGene00007695,cest-9.2,C23H4.7,-0.941795263,0.243158835,0.003709394,daf-16,4,c
WBGene00007728,NA,C25F9.9,0.872096409,0.315122607,0.088719789,daf-16,4,c
WBGene00007748,NA,C26E1.2,0.607888368,0.203910157,0.051421722,daf-16,4,c
WBGene00007765,NA,C27B7.9,0.971461208,0.295365399,0.023282967,daf-16,4,c
WBGene00007807,NA,C29F3.7,-1.894972087,0.337457091,2.01E-06,daf-16,4,c
WBGene00007848,cytb-5.1,C31E10.7,-0.617071118,0.185037427,0.020598881,daf-16,4,c
WBGene00007854,NA,C31H5.1,-1.682770892,0.417025994,0.00210001,daf-16,4,c
WBGene00007886,ethe-1,C33A12.7,-0.839084322,0.217508196,0.003877688,daf-16,4,c
WBGene00007890,NA,C33A12.19,-1.33410197,0.210550124,3.54E-08,daf-16,4,c
WBGene00007938,NA,C34F6.1,2.33068964,0.691005404,0.018445953,daf-16,4,c
WBGene00007946,ugt-33,C35A5.2,-2.616426835,0.646305202,0.00199642,daf-16,4,c
WBGene00007947,NA,C35A5.3,-0.69592348,0.230257285,0.046317228,daf-16,4,c
WBGene00007949,NA,C35A5.5,1.542060069,0.489926529,0.033997942,daf-16,4,c
WBGene00007969,acs-19,C36A4.9,-0.956210237,0.238316581,0.002247829,daf-16,4,c
WBGene00007973,NA,C36B1.6,0.760752395,0.278585565,0.097122316,daf-16,4,c
WBGene00007989,fipr-22,C37A5.2,-1.448868483,0.310383905,1.72E-04,daf-16,4,c
WBGene00007990,fipr-23,C37A5.4,-1.173114615,0.316100137,0.006443906,daf-16,4,c
WBGene00008032,NA,C39E9.8,-0.807492532,0.177146833,2.75E-04,daf-16,4,c
WBGene00008035,NA,C39E9.12,0.728211889,0.262846946,0.088195629,daf-16,4,c
WBGene00008040,ttr-5,C40H1.5,-1.25364379,0.158962555,1.07E-12,daf-16,4,c
WBGene00008042,NA,C40H1.7,1.742664267,0.19674206,4.54E-16,daf-16,4,c
WBGene00008044,NA,C40H1.9,-1.368807625,0.483087009,0.07543675,daf-16,4,c
WBGene00008052,ctns-1,C41C4.7,-0.658434577,0.179265821,0.007270032,daf-16,4,c
WBGene00008097,ugt-15,C44H9.1,1.606142821,0.553913116,0.064116836,daf-16,4,c
WBGene00008107,aspm-1,C45G3.1,0.672762888,0.203120799,0.021835304,daf-16,4,c
WBGene00008123,ent-4,C47A4.2,0.613765271,0.193544083,0.031848101,daf-16,4,c
WBGene00008167,acox-1.5,C48B4.1,-0.564807382,0.181182533,0.036604685,daf-16,4,c
WBGene00008203,clec-198,C49C3.13,0.825712422,0.304071844,0.099061425,daf-16,4,c
WBGene00008211,NA,C49F5.7,-0.651711119,0.175676702,0.006454095,daf-16,4,c
WBGene00008221,nhr-168,C50B6.8,0.596869156,0.210475598,0.074968596,daf-16,4,c
WBGene00008229,NA,C50F4.1,-0.440035311,0.138494265,0.03136909,daf-16,4,c
WBGene00008239,fshr-1,C50H2.1,-0.42744956,0.139911673,0.042833736,daf-16,4,c
WBGene00008252,NA,C51E3.6,-0.688661987,0.214491679,0.028655227,daf-16,4,c
WBGene00008273,NA,C53B4.3,-0.798050572,0.158735683,3.53E-05,daf-16,4,c
