wb_id,Term
WBGene00020340,Becky's UP in daf-16
WBGene00005184,Becky's UP in daf-16
WBGene00020393,Becky's UP in daf-16
WBGene00011676,Becky's UP in daf-16
WBGene00020426,Becky's UP in daf-16
WBGene00011698,Becky's UP in daf-16
WBGene00000007,Becky's UP in daf-16
WBGene00000005,Becky's UP in daf-16
WBGene00020471,Becky's UP in daf-16
WBGene00011765,Becky's UP in daf-16
WBGene00011768,Becky's UP in daf-16
WBGene00006454,Becky's UP in daf-16
WBGene00004023,Becky's UP in daf-16
WBGene00011798,Becky's UP in daf-16
WBGene00011800,Becky's UP in daf-16
WBGene00011803,Becky's UP in daf-16
WBGene00006895,Becky's UP in daf-16
WBGene00000215,Becky's UP in daf-16
WBGene00020578,Becky's UP in daf-16
WBGene00020579,Becky's UP in daf-16
WBGene00020583,Becky's UP in daf-16
WBGene00020587,Becky's UP in daf-16
WBGene00011852,Becky's UP in daf-16
WBGene00011853,Becky's UP in daf-16
WBGene00011880,Becky's UP in daf-16
WBGene00020675,Becky's UP in daf-16
WBGene00001622,Becky's UP in daf-16
WBGene00020691,Becky's UP in daf-16
WBGene00020698,Becky's UP in daf-16
WBGene00002259,Becky's UP in daf-16
WBGene00020714,Becky's UP in daf-16
WBGene00011974,Becky's UP in daf-16
WBGene00020788,Becky's UP in daf-16
WBGene00000936,Becky's UP in daf-16
WBGene00044469,Becky's UP in daf-16
WBGene00044206,Becky's UP in daf-16
WBGene00000528,Becky's UP in daf-16
WBGene00012107,Becky's UP in daf-16
WBGene00020878,Becky's UP in daf-16
WBGene00020881,Becky's UP in daf-16
WBGene00020889,Becky's UP in daf-16
WBGene00012127,Becky's UP in daf-16
WBGene00012136,Becky's UP in daf-16
WBGene00012143,Becky's UP in daf-16
WBGene00006915,Becky's UP in daf-16
WBGene00020912,Becky's UP in daf-16
WBGene00001394,Becky's UP in daf-16
WBGene00044280,Becky's UP in daf-16
WBGene00012201,Becky's UP in daf-16
WBGene00020938,Becky's UP in daf-16
WBGene00020981,Becky's UP in daf-16
WBGene00020989,Becky's UP in daf-16
WBGene00002247,Becky's UP in daf-16
WBGene00001814,Becky's UP in daf-16
WBGene00021028,Becky's UP in daf-16
WBGene00014541,Becky's UP in daf-16
WBGene00006609,Becky's UP in daf-16
WBGene00012308,Becky's UP in daf-16
WBGene00021070,Becky's UP in daf-16
WBGene00000785,Becky's UP in daf-16
WBGene00021088,Becky's UP in daf-16
WBGene00004789,Becky's UP in daf-16
WBGene00013607,Becky's UP in daf-16
WBGene00013608,Becky's UP in daf-16
WBGene00013654,Becky's UP in daf-16
WBGene00013701,Becky's UP in daf-16
WBGene00003959,Becky's UP in daf-16
WBGene00012445,Becky's UP in daf-16
WBGene00012456,Becky's UP in daf-16
WBGene00021262,Becky's UP in daf-16
WBGene00045085,Becky's UP in daf-16
WBGene00012525,Becky's UP in daf-16
WBGene00012545,Becky's UP in daf-16
WBGene00012546,Becky's UP in daf-16
WBGene00012583,Becky's UP in daf-16
WBGene00012585,Becky's UP in daf-16
WBGene00012610,Becky's UP in daf-16
WBGene00012686,Becky's UP in daf-16
WBGene00000022,Becky's UP in daf-16
WBGene00012728,Becky's UP in daf-16
WBGene00021494,Becky's UP in daf-16
WBGene00021503,Becky's UP in daf-16
WBGene00012747,Becky's UP in daf-16
WBGene00021518,Becky's UP in daf-16
WBGene00012770,Becky's UP in daf-16
WBGene00003413,Becky's UP in daf-16
WBGene00012857,Becky's UP in daf-16
WBGene00000560,Becky's UP in daf-16
WBGene00021594,Becky's UP in daf-16
WBGene00012911,Becky's UP in daf-16
WBGene00021601,Becky's UP in daf-16
WBGene00021602,Becky's UP in daf-16
WBGene00021603,Becky's UP in daf-16
WBGene00001707,Becky's UP in daf-16
WBGene00013025,Becky's UP in daf-16
WBGene00013037,Becky's UP in daf-16
WBGene00021742,Becky's UP in daf-16
WBGene00021743,Becky's UP in daf-16
WBGene00000081,Becky's UP in daf-16
WBGene00021814,Becky's UP in daf-16
WBGene00013180,Becky's UP in daf-16
WBGene00003387,Becky's UP in daf-16
WBGene00044488,Becky's UP in daf-16
WBGene00021939,Becky's UP in daf-16
WBGene00021948,Becky's UP in daf-16
WBGene00013257,Becky's UP in daf-16
WBGene00013266,Becky's UP in daf-16
WBGene00013321,Becky's UP in daf-16
WBGene00022010,Becky's UP in daf-16
WBGene00022012,Becky's UP in daf-16
WBGene00013388,Becky's UP in daf-16
WBGene00001393,Becky's UP in daf-16
WBGene00044468,Becky's UP in daf-16
WBGene00022076,Becky's UP in daf-16
WBGene00000202,Becky's UP in daf-16
WBGene00022242,Becky's UP in daf-16
WBGene00022286,Becky's UP in daf-16
WBGene00012416,Becky's UP in daf-16
WBGene00002135,Becky's UP in daf-16
WBGene00013856,Becky's UP in daf-16
WBGene00001730,Becky's UP in daf-16
WBGene00000541,Becky's UP in daf-16
WBGene00022538,Becky's UP in daf-16
WBGene00022561,Becky's UP in daf-16
WBGene00022572,Becky's UP in daf-16
WBGene00194717,Becky's UP in daf-16
WBGene00013866,Becky's UP in daf-16
WBGene00013872,Becky's UP in daf-16
WBGene00006613,Becky's UP in daf-16
WBGene00022610,Becky's UP in daf-16
WBGene00022872,Becky's UP in daf-16
WBGene00003171,Becky's UP in daf-16
WBGene00013923,Becky's UP in daf-16
WBGene00022688,Becky's UP in daf-16
WBGene00013950,Becky's UP in daf-16
WBGene00022732,Becky's UP in daf-16
WBGene00022743,Becky's UP in daf-16
WBGene00000040,Becky's UP in daf-16
WBGene00013996,Becky's UP in daf-16
WBGene00014000,Becky's UP in daf-16
WBGene00000524,Becky's UP in daf-16
WBGene00022644,Becky's UP in daf-16
WBGene00022642,Becky's UP in daf-16
WBGene00022781,Becky's UP in daf-16
WBGene00022783,Becky's UP in daf-16
WBGene00014057,Becky's UP in daf-16
WBGene00014063,Becky's UP in daf-16
WBGene00022801,Becky's UP in daf-16
WBGene00003736,Becky's UP in daf-16
WBGene00014091,Becky's UP in daf-16
WBGene00014092,Becky's UP in daf-16
WBGene00022649,Becky's UP in daf-16
WBGene00014135,Becky's UP in daf-16
WBGene00014136,Becky's UP in daf-16
WBGene00007063,Becky's DOWN in daf-16
WBGene00044165,Becky's DOWN in daf-16
WBGene00044951,Becky's DOWN in daf-16
WBGene00007066,Becky's DOWN in daf-16
WBGene00077504,Becky's DOWN in daf-16
WBGene00044022,Becky's DOWN in daf-16
WBGene00004054,Becky's DOWN in daf-16
WBGene00043988,Becky's DOWN in daf-16
WBGene00043989,Becky's DOWN in daf-16
WBGene00043990,Becky's DOWN in daf-16
WBGene00007074,Becky's DOWN in daf-16
WBGene00007075,Becky's DOWN in daf-16
WBGene00007076,Becky's DOWN in daf-16
WBGene00007077,Becky's DOWN in daf-16
WBGene00007078,Becky's DOWN in daf-16
WBGene00007079,Becky's DOWN in daf-16
WBGene00043987,Becky's DOWN in daf-16
WBGene00007099,Becky's DOWN in daf-16
WBGene00001919,Becky's DOWN in daf-16
WBGene00001921,Becky's DOWN in daf-16
WBGene00001922,Becky's DOWN in daf-16
WBGene00001920,Becky's DOWN in daf-16
WBGene00015037,Becky's DOWN in daf-16
WBGene00015041,Becky's DOWN in daf-16
WBGene00015044,Becky's DOWN in daf-16
WBGene00015045,Becky's DOWN in daf-16
WBGene00000717,Becky's DOWN in daf-16
WBGene00000718,Becky's DOWN in daf-16
WBGene00000599,Becky's DOWN in daf-16
WBGene00015067,Becky's DOWN in daf-16
WBGene00015077,Becky's DOWN in daf-16
WBGene00004413,Becky's DOWN in daf-16
WBGene00050927,Becky's DOWN in daf-16
WBGene00007120,Becky's DOWN in daf-16
WBGene00007124,Becky's DOWN in daf-16
WBGene00004243,Becky's DOWN in daf-16
WBGene00015098,Becky's DOWN in daf-16
WBGene00015107,Becky's DOWN in daf-16
WBGene00015100,Becky's DOWN in daf-16
WBGene00015101,Becky's DOWN in daf-16
WBGene00023224,Becky's DOWN in daf-16
WBGene00007131,Becky's DOWN in daf-16
WBGene00007132,Becky's DOWN in daf-16
WBGene00045188,Becky's DOWN in daf-16
WBGene00014641,Becky's DOWN in daf-16
WBGene00015115,Becky's DOWN in daf-16
WBGene00015116,Becky's DOWN in daf-16
WBGene00007173,Becky's DOWN in daf-16
WBGene00015223,Becky's DOWN in daf-16
WBGene00015225,Becky's DOWN in daf-16
WBGene00015228,Becky's DOWN in daf-16
WBGene00045279,Becky's DOWN in daf-16
WBGene00007199,Becky's DOWN in daf-16
WBGene00007200,Becky's DOWN in daf-16
WBGene00007204,Becky's DOWN in daf-16
WBGene00007206,Becky's DOWN in daf-16
WBGene00007208,Becky's DOWN in daf-16
WBGene00044128,Becky's DOWN in daf-16
WBGene00022904,Becky's DOWN in daf-16
WBGene00006284,Becky's DOWN in daf-16
WBGene00005139,Becky's DOWN in daf-16
WBGene00005138,Becky's DOWN in daf-16
WBGene00015270,Becky's DOWN in daf-16
WBGene00015271,Becky's DOWN in daf-16
WBGene00015272,Becky's DOWN in daf-16
WBGene00015273,Becky's DOWN in daf-16
WBGene00015277,Becky's DOWN in daf-16
WBGene00044053,Becky's DOWN in daf-16
WBGene00015305,Becky's DOWN in daf-16
WBGene00001022,Becky's DOWN in daf-16
WBGene00015325,Becky's DOWN in daf-16
WBGene00015355,Becky's DOWN in daf-16
WBGene00015359,Becky's DOWN in daf-16
WBGene00015360,Becky's DOWN in daf-16
WBGene00015362,Becky's DOWN in daf-16
WBGene00015385,Becky's DOWN in daf-16
WBGene00044338,Becky's DOWN in daf-16
WBGene00044339,Becky's DOWN in daf-16
WBGene00044340,Becky's DOWN in daf-16
WBGene00044357,Becky's DOWN in daf-16
WBGene00015392,Becky's DOWN in daf-16
WBGene00023477,Becky's DOWN in daf-16
WBGene00044337,Becky's DOWN in daf-16
WBGene00015400,Becky's DOWN in daf-16
WBGene00015402,Becky's DOWN in daf-16
WBGene00005646,Becky's DOWN in daf-16
WBGene00005647,Becky's DOWN in daf-16
WBGene00015393,Becky's DOWN in daf-16
WBGene00007288,Becky's DOWN in daf-16
WBGene00015435,Becky's DOWN in daf-16
WBGene00007301,Becky's DOWN in daf-16
WBGene00015479,Becky's DOWN in daf-16
WBGene00007340,Becky's DOWN in daf-16
WBGene00022910,Becky's DOWN in daf-16
WBGene00005228,Becky's DOWN in daf-16
WBGene00015506,Becky's DOWN in daf-16
WBGene00015503,Becky's DOWN in daf-16
WBGene00007375,Becky's DOWN in daf-16
WBGene00014668,Becky's DOWN in daf-16
WBGene00015538,Becky's DOWN in daf-16
WBGene00015540,Becky's DOWN in daf-16
WBGene00006572,Becky's DOWN in daf-16
WBGene00002228,Becky's DOWN in daf-16
WBGene00015549,Becky's DOWN in daf-16
WBGene00015566,Becky's DOWN in daf-16
WBGene00007415,Becky's DOWN in daf-16
WBGene00004932,Becky's DOWN in daf-16
WBGene00015593,Becky's DOWN in daf-16
WBGene00015600,Becky's DOWN in daf-16
WBGene00007440,Becky's DOWN in daf-16
WBGene00194668,Becky's DOWN in daf-16
WBGene00007452,Becky's DOWN in daf-16
WBGene00014672,Becky's DOWN in daf-16
WBGene00014673,Becky's DOWN in daf-16
WBGene00015621,Becky's DOWN in daf-16
WBGene00015641,Becky's DOWN in daf-16
WBGene00007476,Becky's DOWN in daf-16
WBGene00007481,Becky's DOWN in daf-16
WBGene00045322,Becky's DOWN in daf-16
WBGene00000656,Becky's DOWN in daf-16
WBGene00015660,Becky's DOWN in daf-16
WBGene00007513,Becky's DOWN in daf-16
WBGene00045175,Becky's DOWN in daf-16
WBGene00015684,Becky's DOWN in daf-16
WBGene00007516,Becky's DOWN in daf-16
WBGene00007525,Becky's DOWN in daf-16
WBGene00000102,Becky's DOWN in daf-16
WBGene00007543,Becky's DOWN in daf-16
